strata,length,age,maturity,stock,number,biomass_g,meanW_g
41,24,3,IMM,her-3a22,1397770.798,151658131.5,108.5
41,24.5,3,IMM,her-3a22,600779.7171,61680050.96,102.6666667
41,25,3,IMM,her-3a22,1477141.626,191289840.6,129.5
41,26,3,IMM,her-3a22,312395.468,48421297.54,155
41,26.5,3,IMM,her-3a22,272375.4494,41945819.21,154
41,27.5,3,IMM,her-3a22,348963.1298,61417510.84,176
41,28.5,3,IMM,her-3a22,128066.378,23564213.55,184
41,21.5,4,IMM,her-3a22,1489872.802,121492354.9,81.54545455
41,22.5,4,IMM,her-3a22,1752895.506,134972954,77
41,23,4,IMM,her-3a22,814123.197,68549173.19,84.2
41,23.5,4,IMM,her-3a22,625038.6832,56253481.49,90
41,24.5,4,IMM,her-3a22,400519.8114,48863416.99,122
41,25,4,IMM,her-3a22,369285.4066,48561030.97,131.5
41,25.5,4,IMM,her-3a22,1038073.35,132280204,127.4285714
41,26.5,4,IMM,her-3a22,680938.6235,108269241.1,159
41,28,4,IMM,her-3a22,866247.5412,163865159.9,189.1666667
41,21.5,5,IMM,her-3a22,541771.928,39549350.74,73
41,25,5,IMM,her-3a22,184642.7033,18279627.63,99
41,25.5,5,IMM,her-3a22,296592.3856,37963825.36,128
41,26.5,5,IMM,her-3a22,817126.3482,131829717.5,161.3333333
41,27,5,IMM,her-3a22,1733850.675,302478131.3,174.4545455
41,27.5,5,IMM,her-3a22,348963.1298,63860252.75,183
41,28,5,IMM,her-3a22,288749.1804,56883588.54,197
41,28.5,5,IMM,her-3a22,384199.134,74278499.24,193.3333333
41,29,5,IMM,her-3a22,1116689.915,228083915.2,204.25
41,26,6,IMM,her-3a22,780988.67,109026018.3,139.6
41,26.5,6,IMM,her-3a22,272375.4494,37315436.57,137
41,27.5,6,IMM,her-3a22,348963.1298,64558179.01,185
41,28,6,IMM,her-3a22,577498.3608,114489050,198.25
41,29,6,IMM,her-3a22,139586.2394,29313110.27,210
41,29.5,6,IMM,her-3a22,158985.4755,37043615.79,233
41,30,6,IMM,her-3a22,495675.4212,114170572,230.3333333
41,28.5,7,IMM,her-3a22,512265.512,92079725.78,179.75
41,29,7,IMM,her-3a22,418758.7182,87939330.82,210
41,28.5,8,IMM,her-3a22,128066.378,23948412.69,187
41,30.5,8,IMM,her-3a22,304540.3738,66389801.49,218
41,21,2,MAT,her-3a22,438086.676,33732674.05,77
41,21.5,2,MAT,her-3a22,812657.892,69888578.71,86
41,22.5,2,MAT,her-3a22,2191119.383,187705893.8,85.66666667
41,23,2,MAT,her-3a22,3419317.427,327277525.2,95.71428571
41,23.5,2,MAT,her-3a22,1406337.037,158916085.2,113
41,24,2,MAT,her-3a22,5416361.841,706747859.5,130.483871
41,24.5,2,MAT,her-3a22,1401819.34,189846390.6,135.4285714
41,25,2,MAT,her-3a22,3692854.066,517553497.3,140.15
41,25.5,2,MAT,her-3a22,593184.7712,92536824.31,156
41,26.5,2,MAT,her-3a22,1089501.798,174865038.5,160.5
41,27,2,MAT,her-3a22,157622.7886,26638251.27,169
41,27.5,2,MAT,her-3a22,872407.8245,168374710.1,193
41,28,2,MAT,her-3a22,577498.3608,120552782.8,208.75
41,21,3,MAT,her-3a22,876173.352,49941881.06,57
41,22,3,MAT,her-3a22,961020.7992,73518091.14,76.5
41,22.5,3,MAT,her-3a22,1314671.63,114376431.8,87
41,23,3,MAT,her-3a22,1302597.115,134981626.1,103.625
41,23.5,3,MAT,her-3a22,2187635.391,271423048.2,124.0714286
41,24,3,MAT,her-3a22,2620820.246,317818135.1,121.2666667
41,24.5,3,MAT,her-3a22,1201559.434,140582453.8,117
41,25,3,MAT,her-3a22,2215712.44,278995124.7,125.9166667
41,25.5,3,MAT,her-3a22,593184.7712,83045867.97,140
41,26.5,3,MAT,her-3a22,817126.3482,120934699.5,148
